|-------------------------------------------|--------------------------------------------------------------------|---------------------------------------------|-------------------------|
| Environment variable                      | Description                                                        | Default value                               | Configured value        |
|-------------------------------------------|--------------------------------------------------------------------|---------------------------------------------|-------------------------|
| ALLOW_PUBLIC_API                          | Allow HTTP access to /api                                          | false                                       | Boolean                 |
| APPLICATION_SERVER                        | URL of application server                                          |                                             | Address                 |
| APPLICATION_SERVER_TOKEN                  | Secret shared between servers                                      |                                             | String                  |
| BCRYPT_WORKLOAD_FACTOR                    | Strength to protect passwords                                      | 10                                          | Integer                 |
| DASHBOARD_SERVER                          | URL of dashboard server                                            |                                             | Address                 |
| DELETE_DELAY                              | Cool-down time in days to delete accounts                          | 7                                           | Integer                 |
| DISABLE_REGISTRATION                      | Disable UI (not API) for registering                               | unset                                       | Boolean                 |
| DOMAIN                                    | Domain of server                                                   | unset                                       | String                  |
| ENCRYPTION_SECRET                         | 32-character secret string                                         |                                             | String                  |
| ENCRYPTION_SECRET_IV                      | 16-character secret string                                         |                                             | String                  |
| HOST                                      | IP or address web server listens on                                | localhost                                   | IP address              |
| ID_LENGTH                                 | Length of random ID                                                | 8                                           | Integer                 |
| MAXIMUM_INVITATION_CODE_LENGTH            | Longest invitation code length                                     | 50                                          | Integer                 |
| MAXIMUM_ORGANIZATION_NAME_LENGTH          | Longest organization name length                                   | 50                                          | Integer                 |
| MAXIMUM_PASSWORD_LENGTH                   | Longest password length                                            | 50                                          | Integer                 |
| MAXIMUM_RESET_CODE_LENGTH                 | Longest reset code length                                          | 50                                          | Integer                 |
| MAXIMUM_STRIPE_RETRIES                    | Retry Stripe web requests                                          | 0                                           | Integer                 |
| MAXIMUM_USERNAME_LENGTH                   | Longest username length                                            | 50                                          | Integer                 |
| MEMBERSHIP_PROFILE_FIELDS                 | Personal information to share with members                         | display-name,display-email                  | Profile property list   |
| MINIMUM_INVITATION_CODE_LENGTH            | Shortest invitation code length                                    | 6                                           | Integer                 |
| MINIMUM_ORGANIZATION_NAME_LENGTH          | Shortest organization name length                                  | 1                                           | Integer                 |
| MINIMUM_PASSWORD_LENGTH                   | Shortest password length                                           | 1                                           | Integer                 |
| MINIMUM_RESET_CODE_LENGTH                 | Shortest reset code length                                         | 6                                           | Integer                 |
| MINIMUM_USERNAME_LENGTH                   | Shortest username length                                           | 1                                           | Integer                 |
| OVERDUE_INVOICE_THRESHOLD                 | Duration in days to allow open invoices before enforcing payment   | 1                                           | Integer                 |
| PAGE_SIZE                                 | Rows of data per page                                              | 10                                          | Integer                 |
| PORT                                      | Port web server listens on                                         | 8000                                        | Integer                 |
| REQUIRE_PAYMENT                           | Users must resolve unpaid invoices to access application           | unset                                       | Boolean                 |
| REQUIRE_PAYMENT_CONFIRMATION              | Users must resolve payment confirmations to access application     | unset                                       | Boolean                 |
| REQUIRE_PROFILE                           | Require registration information                                   | unset                                       | Integer                 |
| REQUIRE_SUBSCRIPTION                      | Users must create subscription to access application               | unset                                       | Boolean                 |
| SESSION_VERIFICATION_DELAY                | Seconds before verifying a prolongued session                      | 14400                                       | Integer                 |
| START_SUBSCRIPTION_PATH                   | Alternate URL path to your start subscription flow                 | /account/subscriptions/start-subscription   | String                  |
| STRIPE_JS                                 | Use client-side stripe.js in browser                               | unset                                       | Integer                 |
| STRIPE_KEY                                | The `sk_test_xxx` key from Stripe                                  |                                             | String                  |
| STRIPE_PUBLISHABLE_KEY                    | The `pk_test_xxx` key from Stripe                                  |                                             | String                  |
| SUBSCRIPTIONS_WEBHOOK_ENDPOINT_SECRET     | Secret provided by Stripe to sign webhooks                         |                                             | String                  |
| USER_PROFILE_FIELDS                       | Information to collect at registration                             | contact-email,full-name                     | Profile property list   |
|-------------------------------------------|--------------------------------------------------------------------|---------------------------------------------|-------------------------|
